,title,type,issue,date
6597,Readout of President Donald J. Trump’s Call with Amir Sheikh Sabah Al-Ahmed Al-Jaber Al-Sabah of Kuwait,Statements & Releases,Foreign Policy,"Jan 17, 2018"
6598,Presidential Message Honoring Barbara Jordan,Statements & Releases,Other,"Jan 17, 2018"
6599,Press Briefing by Press Secretary Sarah Sanders and Dr. Ronny Jackson,Press Briefings,Other,"Jan 16, 2018"
6600,Remarks by President Trump at White House “Women of America” Panel,Statements & Releases,Other,"Jan 16, 2018"
6601,Release of President Donald J. Trump’s Medical Exam,Statements & Releases,Other,"Jan 16, 2018"
6602,Remarks by President Trump and President Nursultan Nazarbayev of Kazakhstan in Joint Press Statements,Remarks,Foreign Policy,"Jan 16, 2018"
6603,Stephen Moore: “Why taxes matter after all”,News Clips,Budget & Spending,"Jan 16, 2018"
6604,United States and Kazakhstan: An Enhanced Strategic Partnership for the 21st Century,Statements & Releases,Foreign Policy,"Jan 16, 2018"
6605,Remarks by President Trump and President Nursultan Nazarbayev of Kazakhstan Before Bilateral Meeting,Remarks,Foreign Policy,"Jan 16, 2018"
6606,Readout of the Vice President’s Call with Afghan President Ashraf Ghani,Statements & Releases,Foreign Policy,"Jan 16, 2018"
6607,New York Post’s Paul Sperry: “This town is proof that Trump’s wall can work”,News Clips,National Security & Defense,"Jan 16, 2018"
6608,Readout of President Donald J. Trump’s Call with President Xi Jinping of the People’s Republic of China,Statements & Releases,Foreign Policy,"Jan 16, 2018"
6609,Second Lady Karen Pence Announces New Chief of Staff,Statements & Releases,Other,"Jan 16, 2018"
6610,No American Should Have to Choose Between Faith and the Law,Other,Law & Justice,"Jan 16, 2018"
6611,Our Current Immigration System Jeopardizes American Security,Fact Sheets,Immigration,"Jan 16, 2018"
6612,"President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day",Proclamations,Other,"Jan 16, 2018"
6613,Readout of President Donald J. Trump’s Call with Emir Tamim bin Hamad Al Thani of Qatar,Statements & Releases,Foreign Policy,"Jan 15, 2018"
6614,Statement from the Press Secretary Regarding the Mudslides in California,Statements & Releases,Other,"Jan 15, 2018"
6615,"Remarks by President Trump Before Dinner with House Majority Leader Kevin McCarthy | Palm Beach, FL",Remarks,Other,"Jan 14, 2018"
6616,Photos of President Donald J. Trump with Supporters in Florida,Statements & Releases,Other,"Jan 14, 2018"
6617,Photos from President Donald J. Trump’s Visit to Walter Reed National Military Medical Center,Statements & Releases,Other,"Jan 12, 2018"
6618,President Donald J. Trump Announces Intent to Nominate Personnel to Key Administration Posts,Nominations & Appointments,Other,"Jan 12, 2018"
6619,Photos of the Week,Statements & Releases,Other,"Jan 12, 2018"
6620,"President Donald J. Trump Signed H.R. 518, H.R. 954 and H.R. 2611 into Law",Statements & Releases,Other,"Jan 12, 2018"
6621,Background Press Call on Iran Sanctions,Press Briefings,Foreign Policy,"Jan 12, 2018"
6622,Statement by the President on the Iran Nuclear Deal,Statements & Releases,National Security & Defense,"Jan 12, 2018"
6623,"Remarks by President Trump at Signing of Proclamation to Honor Dr. Martin Luther King, Jr. Day",Remarks,Other,"Jan 12, 2018"
6624,The Washington Times: “Tax cuts hit home”,News Clips,Budget & Spending,"Jan 12, 2018"
6625,"President Donald J. Trump Proclaims January 15, 2018, as the Martin Luther King, Jr., Federal Holiday",Proclamations,Other,"Jan 12, 2018"
6626,Readout of the Vice President’s Call with Polish Prime Minister Mateusz Morawiecki,Statements & Releases,Foreign Policy,"Jan 12, 2018"
6627,Statement by the Press Secretary,Statements & Releases,Foreign Policy,"Jan 12, 2018"
6628,White House Drug Policy Office Releases Funding Opportunity Announcement for Drug-Free Communities (DFC) Support Program,Statements & Releases,Healthcare,"Jan 12, 2018"
6629,Remarks by the Vice President to Troops and Family Members at Nellis Air Force Base,Remarks,Other,"Jan 11, 2018"
6630,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 11, 2018"
6631,Remarks by the Vice President at AFWERX Vegas,Remarks,Other,"Jan 11, 2018"
6632,Another Week of Positive Economic News,Statements & Releases,Budget & Spending,"Jan 11, 2018"
6633,Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,Statements & Releases,Foreign Policy,"Jan 11, 2018"
6634,Remarks by President Trump in a Meeting on Prison Reform,Remarks,Law & Justice,"Jan 11, 2018"
6635,President Trump Announces Presidential Delegation to Switzerland to attend the World Economic Forum,Statements & Releases,Other,"Jan 11, 2018"
6636,Statement from the Press Secretary on Libya’s Successful Destruction of its Chemical Weapons Stockpile,Statements & Releases,Foreign Policy,"Jan 11, 2018"
6637,Pittsburgh Post-Gazette: “Help for vets: Trump deploys more firepower against suicides”,News Clips,Veterans,"Jan 11, 2018"
6638,First Lady Melania Trump Announces Key Additions to East Wing Staff,Statements & Releases,Other,"Jan 11, 2018"
6639,Statement from the Press Secretary,Statements & Releases,Other,"Jan 10, 2018"
6640,"Remarks by President Donald Trump and Vice President Mike Pence and Bipartisan Members of Congress at Signing of H.R. 2142, INTERDICT Act",Remarks,Other,"Jan 10, 2018"
6641,Statement from the Press Secretary on Immigration Legislation,Statements & Releases,Other,"Jan 10, 2018"
6642,"President Donald J. Trump Signs H.R. 381, H.R. 699, H.R. 863, H.R. 2142, H.R. 2228, and H.R. 2331 into Law",Statements & Releases,Other,"Jan 10, 2018"
6643,Two Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 10, 2018"
6644,Remarks by President Trump and Prime Minister Solberg of Norway Before Bilateral Meeting,Remarks,Foreign Policy,"Jan 10, 2018"
6645,Statement by the Press Secretary on Iran Protests,Statements & Releases,Foreign Policy,"Jan 10, 2018"
6646,Remarks by President Trump in Cabinet Meeting,Remarks,Other,"Jan 10, 2018"
6647,"Vice President Mike Pence to Travel to Republic of Korea, Japan, and Lead Presidential Delegation to the 2018 Olympic Winter Games",Statements & Releases,Other,"Jan 10, 2018"
6648,Readout of President Donald J. Trump’s Call with President Moon Jae-In of the Republic of Korea,Statements & Releases,Foreign Policy,"Jan 10, 2018"
6649,Statement from the Press Secretary on the Visit of President Nursultan Nazarbayev of Kazakhstan,Statements & Releases,Foreign Policy,"Jan 9, 2018"
6650,President Donald J. Trump Announces Intent to Nominate Paul C. Ney Jr. of Tennessee to be the General Counsel of the Department of Defense,Nominations & Appointments,Other,"Jan 9, 2018"
6651,Presidential Memorandum for the Director of National Intelligence,Presidential Memoranda,Other,"Jan 9, 2018"
6652,Remarks by President Trump in Meeting with Bipartisan Members of Congress on Immigration,Remarks,Immigration,"Jan 9, 2018"
6653,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 9, 2018"
6654,President Donald J. Trump Takes Care of Veterans from the Battlefront to the Home Front,Fact Sheets,Veterans,"Jan 9, 2018"
6655,Remarks by President Trump at Signing of Executive Order on Supporting our Veterans During their Transition from Uniformed Service to Civilian Life,Remarks,Veterans,"Jan 9, 2018"
6656,Statement from the Press Secretary,Statements & Releases,Immigration,"Jan 9, 2018"
6657,Presidential Executive Order on Supporting Our Veterans During Their Transition From Uniformed Service to Civilian Life,Executive Orders,Veterans,"Jan 9, 2018"
6658,Presidential Memorandum for the Secretary of State,Presidential Memoranda,Other,"Jan 9, 2018"
6659,WTAS: Support for President Trump’s Speech to the American Farm Bureau,Statements & Releases,Land & Agriculture,"Jan 9, 2018"
6660,Sec Perdue: “Rural broadband is our duty to farmers”,News Clips,Land & Agriculture,"Jan 9, 2018"
6661,President Donald J. Trump Signs H.R. 267 into Law,Statements & Releases,Other,"Jan 9, 2018"
6662,Remarks by President Trump to the American Farm Bureau Annual Convention,Remarks,Land & Agriculture,"Jan 8, 2018"
6663,Presidential Memorandum for the Secretary of the Interior,Presidential Memoranda,Land & Agriculture,"Jan 8, 2018"
6664,Presidential Executive Order on Streamlining and Expediting Requests to Locate Broadband Facilities in Rural America,Executive Orders,Land & Agriculture,"Jan 8, 2018"
6665,Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 8, 2018"
6666,President Donald J. Trump is Working to Rebuild Rural America,Fact Sheets,Land & Agriculture,"Jan 8, 2018"
6667,"26 Years Later, a President Hears Rural America",Other,Land & Agriculture,"Jan 8, 2018"
6668,Nominations Sent to the Senate Today,Nominations & Appointments,Other,"Jan 8, 2018"
6669,"Press Gaggle by Deputy Press Secretary Hogan Gidley en route Nashville, Tennessee",Press Briefings,Other,"Jan 8, 2018"
6670,Interview of the Vice President by Dana Loesch,Statements & Releases,Other,"Jan 8, 2018"
6671,"President Donald J. Trump signs H.R. 560, H.R. 1242, H.R. 1306, H.R. 1927, S. 1393, S. 1532, S. 1766",Statements & Releases,Other,"Jan 8, 2018"
6672,"Vice President Mike Pence to Travel to Egypt, Jordan, and Israel",Statements & Releases,Foreign Policy,"Jan 8, 2018"
6673,"Andy Puzder: ‘Raise Wages via Growth, Not Mandates’",News Clips,Economy & Jobs,"Jan 8, 2018"
6674,Readout of President Donald J. Trump’s Call with President Emmanuel Macron of France,Statements & Releases,Foreign Policy,"Jan 7, 2018"
6675,"Remarks by President Donald Trump, Vice President Mike Pence, Senate Majority Leader Mitch McConnell, and House Speaker Paul Ryan After Congressional Republican Leadership Retreat",Remarks,Other,"Jan 6, 2018"
6676,Photo from Secretary of Defense James Mattis’ Briefing at the Republican Congressional Leadership Retreat at Camp David,Statements & Releases,Other,"Jan 6, 2018"
6677,Tax Reform: Where Have We Been and Where Are We Going?,Other,Economy & Jobs,"Jan 6, 2018"
6678,Photo from the President’s Dinner with legislative leadership at Camp David,Statements & Releases,Other,"Jan 5, 2018"
6679,Statement by the Press Secretary on Pay Raises for Workers After the Tax Bill,Statements & Releases,Economy & Jobs,"Jan 5, 2018"
6680,Photos from Working Session at the Republican Congressional Leadership Retreat,Statements & Releases,Other,"Jan 5, 2018"
6681,"The Washington Post: “Trump’s first-year jobs numbers were very, very good”",News Clips,Economy & Jobs,"Jan 5, 2018"
6682,Remarks by President Trump Before Marine One Departure,Remarks,Other,"Jan 5, 2018"
6683,The Washington Times: “The market and the economy”,News Clips,Economy & Jobs,"Jan 5, 2018"
6684,President Donald J. Trump Announces Renomination of 21 Judicial Nominees,Nominations & Appointments,Other,"Jan 5, 2018"
6685,NAM’s Jay Timmons: “Manufacturers Intend to Deliver on Tax Reform’s Promise”,News Clips,Budget & Spending,"Jan 5, 2018"
6686,2017: A Year of Promises Fulfilled with a Strong Labor Market,Other,Economy & Jobs,"Jan 5, 2018"
6687,President Donald J. Trump Announces Key Additions to his Administration,Nominations & Appointments,Other,"Jan 4, 2018"
6688,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 4, 2018"
6689,"CNBC: “Job-cut announcements in 2017 see lowest level since 1990, Challenger report says”",News Clips,Budget & Spending,"Jan 4, 2018"
6690,Remarks by President Trump and Vice President Pence in a Meeting on Immigration with Republican Members of the Senate,Remarks,Immigration,"Jan 4, 2018"
6691,Readout of President Donald J. Trump’s Call with President Moon Jae-In of the Republic of Korea,Statements & Releases,Foreign Policy,"Jan 4, 2018"
6692,"CNBC: “Dow breaks above 25,000 for the first time ever after strong jobs data”",News Clips,Economy & Jobs,"Jan 4, 2018"
6693,The President Will Not Be Silent on Iran,Other,Foreign Policy,"Jan 4, 2018"
6694,Executive Order on the Termination of Presidential Advisory Commission on Election Integrity,Executive Orders,Other,"Jan 3, 2018"
6695,Statement by the Press Secretary on the Presidential Advisory Commission on Election Integrity,Statements & Releases,Other,"Jan 3, 2018"
6696,"President Donald J. Trump Signs H.R. 4661, S. 1536, and S. 2273 into Law",Statements & Releases,Other,"Jan 3, 2018"
6697,"Statement from President Donald J. Trump Regarding the Passing of Thomas S. Monson, President of the Church of Jesus Christ of Latter-day Saints",Statements & Releases,Other,"Jan 3, 2018"
6698,The Wall Street Journal: “Busting Illusions About Iran”,News Clips,Foreign Policy,"Jan 3, 2018"
6699,"Joint Statement from the White House, the Senate Majority Leader’s Office, and the House Speaker’s Office",Statements & Releases,Budget & Spending,"Jan 3, 2018"
6700,Press Briefing by Press Secretary Sarah Sanders,Press Briefings,Other,"Jan 3, 2018"
6701,Readout of President Donald J. Trump’s Call with President-Elect Sebastian Piñera of Chile,Statements & Releases,Foreign Policy,"Jan 3, 2018"
6702,The Wall Street Journal: “U.S. Factory Activity Gained Momentum in December”,News Clips,Economy & Jobs,"Jan 3, 2018"
6703,President Donald J. Trump Announces Key Additions to his Administration,Nominations & Appointments,Other,"Jan 3, 2018"
6704,"Interview of Vice President Mike Pence by Greta Van Susteren, Voice of America",Statements & Releases,Foreign Policy,"Jan 3, 2018"
6705,Sen. Grassley: “Tax reform is a promise kept to Iowa families”,News Clips,Budget & Spending,"Jan 3, 2018"
6706,President Donald J. Trump Approves Vermont Disaster Declaration,Statements & Releases,Land & Agriculture,"Jan 2, 2018"
6707,President Donald J. Trump Approves New Hampshire Disaster Declaration,Statements & Releases,Land & Agriculture,"Jan 2, 2018"
6708,President Donald J. Trump Approves Maine Disaster Declaration,Statements & Releases,Energy & Environment,"Jan 2, 2018"
6709,"Presidential Message on National Stalking Awareness Month, 2018",Statements & Releases,Law & Justice,"Jan 2, 2018"
